Business Name,Address,Owner Age,Credit Score,Occupation,Taxable Value,Business Age,Mortgage
Fisher and Sons,"251 Tran Crescent, West Susan, CT 76967",34,354,Set designer,752812,2,Yes
Taylor Group,"857 John Shore, Gordonstad, LA 61959",42,464,Fisheries officer,350538,22,No
"Nelson, Watkins and Bartlett","5775 Coffey Ways, Lake Scott, NE 78651",34,363,Phytotherapist,774141,26,No
Davis PLC,"Unit 9435 Box 7843, DPO AP 46252",38,333,Futures trader,426105,27,No
"Sparks, Mejia and Dickerson","067 Carpenter Grove, Jonathanstad, PA 51138",31,529,Building control surveyor,828476,21,No
Alvarez-Sanchez,"9618 Alison Trace Suite 256, Port Kyleburgh, CO 09498",40,823,Investment analyst,872405,26,No
Fields-Jackson,"4650 Shaw Vista Suite 015, Port Erin, OR 08282",69,348,Consulting civil engineer,450118,13,No
"Stafford, Alexander and Patel","8657 Kathleen Motorway, Lake Ericstad, ND 08442",68,620,Acupuncturist,628944,2,Yes
Rodgers-Ballard,"3370 Shannon Station Suite 443, North Anthony, AK 02784",41,507,Cytogeneticist,700706,28,No
"Pollard, Garner and Ferguson","99956 Carol Mission Apt. 356, Tammyborough, VT 55778",39,676,Outdoor activities/education manager,841787,19,Yes
Miller and Sons,"4572 Andrew Shores, East Brandy, VA 71118",37,601,"Accountant, chartered management",520616,6,Yes
"Ferrell, Johnson and Sanchez","USS Tyler, FPO AP 76421",36,477,Audiological scientist,820786,17,Yes
"Stone, Edwards and Hart","900 Wolfe Corner, East Michelle, AZ 12079",49,341,"Designer, multimedia",499323,9,No
Garcia-Morgan,"3258 Bryant Plaza Suite 767, East Susan, IN 03024",33,464,Ecologist,662353,28,No
"Dorsey, Watson and Ho","00806 Angela Lodge Apt. 295, Olsonport, NC 91869",25,638,Forensic psychologist,538983,23,Yes
"Kirk, Harrison and Santiago","305 Justin Hill, Zacharymouth, UT 47113",27,457,"Restaurant manager, fast food",388302,20,Yes
"Gordon, Fischer and Pierce","6263 Joshua Turnpike Suite 128, Smithfort, VA 83343",65,608,Broadcast presenter,564379,26,No
Jones and Sons,"104 Davis Turnpike, Carrollfort, TN 18793",29,625,Commercial horticulturist,600916,8,Yes
Howard-James,"836 Carla Rapids, Daveton, HI 66048",58,369,Commercial horticulturist,874451,17,Yes
Lewis and Sons,"998 Nicole Center Suite 174, Mistymouth, FL 22389",51,849,Charity fundraiser,473013,3,No
"Walsh, Sullivan and Johnson","26430 Brian Estate Suite 212, South Richard, MT 02588",39,518,Archaeologist,745556,11,No
"Sosa, Le and Thompson","30542 Spencer Heights Suite 032, Laurabury, ID 84405",48,600,Product manager,279056,25,No
"Fuentes, Adams and Davis","6737 Ruiz Court, New Lawrenceside, LA 99816",60,309,Chief Technology Officer,170294,22,No
"Perkins, Bell and Ball","41709 Sara Stream, Coleside, RI 79125",53,546,"Conservation officer, nature",998433,21,Yes
"Schneider, Jackson and Macias","Unit 9622 Box 1405, DPO AP 27741",27,628,Volunteer coordinator,449898,30,Yes
Jones PLC,"9357 Johnson Fall, Robertview, PA 47662",49,562,Media planner,616479,24,No
"Molina, Larsen and Evans","6783 Stone Shore Suite 628, Sullivanmouth, NV 37150",26,829,Heritage manager,912043,25,No
Johnson PLC,"855 Torres Summit, Hernandezshire, GA 26689",57,820,IT sales professional,517200,16,Yes
Moore Inc,"98915 Johnson Point, Hickmanport, IN 35721",43,497,"Surveyor, commercial/residential",385872,17,Yes
Smith Inc,"7104 Garrett Isle Suite 876, Susanstad, PA 90727",31,471,Mudlogger,860883,18,Yes
Bird-Andrade,"23647 Washington Harbors, Julieton, DC 60169",65,367,Chartered certified accountant,271020,22,Yes
Rodriguez Ltd,"397 Brandon Island, West Anthonyland, MN 76332",68,734,"Development worker, community",926258,4,Yes
